District,DISTRICT_CODE,State,STATE_CODE,Winter,Pre-Monsoon,SW-Monsoon,Post-Monsoon,Annual
KARBI ANGLONG,314,ASSAM,18,2.3,175.4,703.2,105.3,986.2
KARIMGANJ,317,ASSAM,18,5.6,,1840.1,309.2,
KOKRAJHAR,300,ASSAM,18,16.9,390.6,2331.1,325.6,3064.1
LAKHIMPUR,307,ASSAM,18,28.6,421.3,1843.7,115.9,2409.4
MORIGAON,304,ASSAM,18,7.2,219.7,769.3,127.2,1123.4
NAGAON,305,ASSAM,18,4,132.8,538.6,49.7,725.1
NALBARI,323,ASSAM,18,37.5,345.6,1488.4,31.6,1903.1
SIVASAGAR,311,ASSAM,18,8.8,335.8,1104.5,69.3,1518.3
SONITPUR,306,ASSAM,18,26.4,222.9,1084.4,69.1,1402.7
TINSUKIA,309,ASSAM,18,16.1,446.3,1051.4,71.4,1585.2
UDALGURI,326,ASSAM,18,16.3,313.1,1004.7,59.4,1393.5
ARARIA,209,BIHAR,10,0,341.4,1142.2,226.8,1710.4
ARWAL,240,BIHAR,10,2.9,178.2,656.4,64.1,901.6
AURANGABAD,515,BIHAR,10,1.6,134,822.8,137.4,1096
BANKA,225,BIHAR,10,0,176.2,788.8,141,1106
BEGUSARAI,222,BIHAR,10,0,254.4,770.8,231.5,1256.8
BHAGALPUR,224,BIHAR,10,0,270.8,935.4,235.9,1442
BHOJPUR,231,BIHAR,10,1.1,170.8,757.9,131.2,1061
BUXAR,232,BIHAR,10,0,194.9,808.8,195.5,1199.2
DARBHANGA,215,BIHAR,10,0,288.3,1244.5,249.8,1782.5
EAST CHAMPARAN,204,BIHAR,10,0,286.5,1127.8,225.1,1639.4
GAYA,236,BIHAR,10,1.8,226,1075.7,127.7,1431.1
GOPALGANJ,217,BIHAR,10,0.2,234.8,1010.6,298.4,1544
JEHANABAD,239,BIHAR,10,2.5,236,775,142.7,1156.2
JAMUI,238,BIHAR,10,0.5,246.1,717.8,179.9,1144.3
KATIHAR,212,BIHAR,10,0.4,404.3,962.4,222.1,1589.1
KHAGARIA,223,BIHAR,10,0,215.6,958.4,249.1,1423
KISHANGANJ,210,BIHAR,10,0,408.8,1601.4,330.5,2340.7
LAKHISARAI,227,BIHAR,10,0,272.2,581.1,170.8,1024.1
MADHEPURA,213,BIHAR,10,0,355.2,1011.8,229,1596
MADHUBANI,207,BIHAR,10,0,342.5,1161.7,224.1,1728.3
MUNGER,226,BIHAR,10,0.2,237.8,802.1,182.2,1222.3
MUZAFFARPUR,216,BIHAR,10,0.1,313.6,1239.3,272.8,1825.8
NALANDA,229,BIHAR,10,1.4,308.8,807.6,147.8,1265.6
NAWADA,237,BIHAR,10,1.6,194.3,871,233.2,1300
PATNA,230,BIHAR,10,1,192.5,783.3,122.8,1099.6
PURNIA,211,BIHAR,10,0.1,381,828.5,204.2,1413.8
ROHTAS,234,BIHAR,10,1.4,161.3,865.6,128.4,1156.7
SAHARSA,214,BIHAR,10,0,252,900.9,223.4,1376.2
SAMASTIPUR,221,BIHAR,10,0,234.8,1105.4,305.8,1646
SARAN,219,BIHAR,10,0,248.3,1029.9,179,1457.2
SHEIKHPURA,228,BIHAR,10,0,217.9,721.2,296.6,1235.7
SHEOHAR,205,BIHAR,10,0,208.6,857.4,146.4,1212.4
SITAMARHI,206,BIHAR,10,0,307.4,1111.5,134.8,1553.8
SIWAN,218,BIHAR,10,0,262,1131.2,261,1654.2
SUPAUL,208,BIHAR,10,0,310.7,1432,318.7,2061.4
VAISHALI,220,BIHAR,10,0,299.5,1285,265.9,1850.4
WEST CHAMPARAN,203,BIHAR,10,0,392.7,2023.7,205.2,2621.6
CHANDIGARH,055,CHANDIGARH,04,19.6,80.9,600.2,41.6,742.4
BALOD,719,CHHATTISGARH,22,7.8,133.7,930.6,104.6,1176.7
BALODA BAZAR,721,CHHATTISGARH,22,11.4,40.4,965,85.5,1102.3
BALRAMPUR,716,CHHATTISGARH,22,11.1,134.4,1058.1,71,1274.6
BASTAR,414,CHHATTISGARH,22,5.7,166.9,1093.9,174.7,1441.2
BAMETARA,718,CHHATTISGARH,22,34.6,100.8,1177.2,78.5,1391
BIJAPUR,417,CHHATTISGARH,22,6.9,117.3,1216.5,106.9,1447.5
BILASPUR,406,CHHATTISGARH,22,26.8,62.3,1231.1,72.7,1392.9
DAKSHIN BASTAR DANTEWADA,416,CHHATTISGARH,22,0.7,74.2,1203.9,65.3,1343.9
DHAMTARI,412,CHHATTISGARH,22,4.4,68.7,956.5,90.6,1120.1
DURG,409,CHHATTISGARH,22,6.5,114.6,1024.5,160.7,1306.3
GARIABAND,720,CHHATTISGARH,22,7.5,101.5,1060.3,84.8,1254.1
JANJGIR CHAMPA,405,CHHATTISGARH,22,17.2,47.1,1150.8,68.3,1283.2
JASHPUR,402,CHHATTISGARH,22,12.2,118.2,1081.3,123,1334.6
KABEERDHAM,407,CHHATTISGARH,22,18.5,56,1024.8,156.8,1256.1
KONDAGAON,722,CHHATTISGARH,22,15.9,118,1122.2,24.4,1280.6
KORBA,404,CHHATTISGARH,22,28,96.6,1399.5,79.5,1603.6
KORIYA,400,CHHATTISGARH,22,15.5,106.4,1036.5,44.3,1202.7
MAHASAMUND,411,CHHATTISGARH,22,0,57.7,921.7,95.9,1075.3
MUNGELI,717,CHHATTISGARH,22,14.7,41.3,1122.3,72.3,1250.7
NARAYANPUR,415,CHHATTISGARH,22,27.8,197.9,1290.2,103.8,1619.7
RAIGARH,520,CHHATTISGARH,22,10.7,69.8,934.6,95.6,1110.6
RAIPUR,410,CHHATTISGARH,22,6,58.4,879.3,128.7,1072.3
RAJNANDGAON,408,CHHATTISGARH,22,10,61.9,982.4,91.3,1145.5
SUKMA,723,CHHATTISGARH,22,0.9,126.3,1564.7,80.1,1772
SURAJPUR,715,CHHATTISGARH,22,17.1,117.4,1265.6,68.5,1468.6
SURGUJA,401,CHHATTISGARH,22,16,76.5,926.7,53.5,1072.7
CENTRAL DELHI,095,DELHI,07,,0,1273.3,123.9,
EAST DELHI,093,DELHI,07,32,83.7,723.6,114.2,953.5
NEW DELHI,094,DELHI,07,48.2,114.5,921.2,103.2,1187.1
NORTH DELHI,091,DELHI,07,45.8,145.6,1183.3,76.7,1451.5
NORTH EAST DELHI,092,DELHI,07,37.9,38.5,501.5,55.6,633.5
NORTH WEST DELHI,090,DELHI,07,16.8,17,728.5,47,809.2
SOUTH DELHI,098,DELHI,07,32.5,150.5,671.2,84.8,938.9
SOUTH WEST DELHI,097,DELHI,07,40.3,72.8,808.7,51.7,973.5
WEST DELHI,096,DELHI,07,30.5,134,509.2,34.9,708.6
NORTH GOA,585,GOA,30,35.6,286.5,3357,565,4244.1
SOUTH GOA,586,GOA,30,38.9,283.3,2920.4,442.6,3685.1
AHMADABAD,474,GUJARAT,24,0,65.6,523.9,9.3,598.8
AMRELI,480,GUJARAT,24,0,131.3,729.1,23.1,883.5
ANAND,482,GUJARAT,24,0,97.7,814.4,16.1,928.1
ARAVALLI,725,GUJARAT,24,2.7,94.2,547.2,9.8,653.8
BANAS KANTHA,469,GUJARAT,24,0,13.4,436.1,55.9,505.3
BHARUCH,488,GUJARAT,24,0,65.7,776.5,65.5,907.7
BHAVNAGAR,481,GUJARAT,24,0,137.8,637.9,32,807.8
BOTAD,726,GUJARAT,24,0,115.3,601.3,14.8,731.3
CHOTA UDAIPUR,731,GUJARAT,24,6.8,18.1,1024.4,85.9,1135.2
DOHAD,485,GUJARAT,24,0.2,23.1,540.3,34.6,598.3
DAMAN,495,GUJARAT,24,0,291,2564.2,161,3016.1
DAMAN,495,GUJARAT,24,0,291,2564.2,161,3016.1
DEVBHUMI DWARKA,728,GUJARAT,24,0,0,904,66.8,970.8
DIU,494,GUJARAT,24,0,87.4,617.8,61.6,766.8
GANDHINAGAR,473,GUJARAT,24,0,92.5,497.7,14.3,604.4
GIR SOMNATH,729,GUJARAT,24,0,140.8,882.4,44.6,1067.8
JAMNAGAR,477,GUJARAT,24,0,17.3,883.7,27.4,928.4
JUNAGADH,479,GUJARAT,24,0,44.3,1152.9,53.1,1250.3
KHEDA,483,GUJARAT,24,0,143.4,650.7,9.3,803.4
MAHISAGAR,730,GUJARAT,24,0,84.2,550,11.3,645.5
MAHESANA,471,GUJARAT,24,0,37.4,544.1,46.1,627.6
MORBI,727,GUJARAT,24,0,42.6,512.6,28.8,584
NARMADA,487,GUJARAT,24,8.2,26.8,1058.9,88.7,1182.6
NAVSARI,490,GUJARAT,24,5.3,107.7,1676.7,130.8,1920.5
PANCH MAHALS,484,GUJARAT,24,0.1,42.7,672.5,34,749.4
PATAN,470,GUJARAT,24,0,22.8,448.6,60.9,532.2
PORBANDAR,478,GUJARAT,24,0,3.5,945.1,17.5,966.1
RAJKOT,476,GUJARAT,24,0,44.6,896.5,46.7,987.8
SABAR KANTHA,472,GUJARAT,24,0,75.7,588.3,65.5,729.5
SURAT,492,GUJARAT,24,5.2,80.9,1383.5,129.3,1598.9
SURENDRANAGAR,475,GUJARAT,24,0,53,428.2,27.6,508.9
TAPI,493,GUJARAT,24,9.8,16.6,956.3,85.9,1068.5
VADODARA,486,GUJARAT,24,0,43.4,673.9,58.6,775.9
VALSAD,491,GUJARAT,24,4.4,147.4,2335.5,183.5,2670.8
AMBALA,070,HARYANA,06,34.5,57.6,596.5,34.7,723.2
BHIWANI,081,HARYANA,06,22.8,29.6,340,16.5,408.9
CHARKI DADRI,765,HARYANA,06,30,52,521,24.5,627.5
FARIDABAD,088,HARYANA,06,26.7,105.3,569.7,60,761.7
FATEHABAD,078,HARYANA,06,7.5,15.9,522.7,15.4,561.4
GURUGRAM,086,HARYANA,06,26.6,135.7,738.9,32.4,933.6
HISAR,080,HARYANA,06,11.3,20.2,555.2,19.6,606.3
JHAJJAR,083,HARYANA,06,37.1,116.2,759.7,41.4,954.5
JIND,077,HARYANA,06,24.9,37.4,564.4,3.4,630.1
KAITHAL,073,HARYANA,06,31.5,35.2,623.6,19.2,709.5
KARNAL,074,HARYANA,06,44.1,28.3,675.1,34.4,781.9
KURUKSHETRA,072,HARYANA,06,36.8,70.2,630.9,25.1,762.9
MAHENDRAGARH,084,HARYANA,06,35.3,75.8,582.3,24.9,718.4
NUH,087,HARYANA,06,12.6,92.5,574.2,60.2,739.5
PALWAL,089,HARYANA,06,30.5,51,477.9,52.5,611.9
PANCHKULA,069,HARYANA,06,26.6,38.3,519.7,40.9,625.3
PANIPAT,075,HARYANA,06,59.5,32.3,718.4,16.8,826.9
REWARI,085,HARYANA,06,23.4,88.9,628.5,30,770.8
ROHTAK,082,HARYANA,06,33.7,63.4,559.1,13.9,670.1
SIRSA,079,HARYANA,06,7,21.8,269.1,12,309.9
SONIPAT,076,HARYANA,06,48,81.5,962.5,23.1,1115.1
YAMUNANAGAR,071,HARYANA,06,25.8,70.9,773.7,59.9,930.3
BILASPUR,406,HIMACHAL PRADESH,02,21.4,105.4,881.2,59.9,1067.9
CHAMBA,023,HIMACHAL PRADESH,02,90.7,271.2,594,84.9,1040.9
HAMIRPUR,168,HIMACHAL PRADESH,02,31,108.2,993.1,43.3,1175.5
KANGRA,024,HIMACHAL PRADESH,02,55,183.1,1467.7,81.8,1787.7
KINNAUR,034,HIMACHAL PRADESH,02,58.2,236.1,236.4,95.8,626.4
KULLU,026,HIMACHAL PRADESH,02,68.1,349,707.7,113.8,1238.5
LAHUL AND SPITI,025,HIMACHAL PRADESH,02,72.8,234.6,140.4,84.1,531.9
MANDI,027,HIMACHAL PRADESH,02,33.1,265.8,1174.7,42.2,1515.8
SHIMLA,033,HIMACHAL PRADESH,02,79.1,264.4,699.2,60.9,1103.6
SIRMAUR,032,HIMACHAL PRADESH,02,52.9,143.7,1161.8,55.6,1414
SOLAN,031,HIMACHAL PRADESH,02,62.2,165.9,874.5,66.1,1168.6
UNA,029,HIMACHAL PRADESH,02,24.3,103.7,709.4,68.4,905.8
ANANTNAG,014,JAMMU AND KASHMIR,01,128.6,246.5,243.6,158.5,777.2
BADGAM,002,JAMMU AND KASHMIR,01,121.3,233.5,117.8,125,597.5
BANDIPORE,009,JAMMU AND KASHMIR,01,62.7,228,117.5,100.5,508.7
BARAMULA,008,JAMMU AND KASHMIR,01,138.1,502.8,194.7,154,989.5
DODA,016,JAMMU AND KASHMIR,01,136,312.8,290.9,114.7,854.3
GANDERBAL,011,JAMMU AND KASHMIR,01,124.4,524.2,330,118.1,1096.7
JAMMU,021,JAMMU AND KASHMIR,01,70.9,82.8,668,96.1,917.7
KATHUA,007,JAMMU AND KASHMIR,01,37.2,92.2,848.7,42.1,1020.2
KISHTWAR,018,JAMMU AND KASHMIR,01,87.5,65,150.6,101,404.1
KULGAM,015,JAMMU AND KASHMIR,01,158.2,411.4,261.2,197.3,1028
KUPWARA,001,JAMMU AND KASHMIR,01,169.5,410.7,177,79.8,837
PUNCH,005,JAMMU AND KASHMIR,01,234,497,560,149,1440
PULWAMA,012,JAMMU AND KASHMIR,01,92.6,207.6,129.2,121.5,550.9
RAJOURI,006,JAMMU AND KASHMIR,01,137.4,195.3,414.4,111.8,858.9
RAMBAN,017,JAMMU AND KASHMIR,01,193.7,392.5,300.2,157.5,1044
REASI,020,JAMMU AND KASHMIR,01,125.5,219.9,1295.6,160.1,1801.1
SAMBA,022,JAMMU AND KASHMIR,01,2,3,788,62,855
SHUPIYAN,013,JAMMU AND KASHMIR,01,57,131,72.5,95.5,356
SRINAGAR,010,JAMMU AND KASHMIR,01,174.5,374.2,254,140.1,942.8
UDHAMPUR,019,JAMMU AND KASHMIR,01,187.3,186.4,1183.1,197.8,1754.6
BOKARO,355,JHARKHAND,20,1.1,178.9,1032.8,207,1419.8
CHATRA,347,JHARKHAND,20,0,173.2,712.9,66.3,952.4
DEOGHAR,350,JHARKHAND,20,0,131.5,1036.8,208.2,1376.5
DHANBAD,354,JHARKHAND,20,0,185.7,1356.4,202.9,1745.1
DUMKA,362,JHARKHAND,20,0,150.4,1068.6,173.4,1392.4
PURBI SINGHBHUM,357,JHARKHAND,20,6.4,446.9,1292.6,210.9,1956.9
GARHWA,346,JHARKHAND,20,3.4,113,777,65.7,959.1
GIRIDIH,349,JHARKHAND,20,0,141.9,996.1,197.9,1335.8
GODDA,351,JHARKHAND,20,0,170,719.7,149.3,1038.9
GUMLA,366,JHARKHAND,20,10,159,771.5,105.1,1045.6
HAZARIBAGH,360,JHARKHAND,20,0.2,359.6,1223.1,166.9,1749.7
JAMTARA,363,JHARKHAND,20,0,164.3,1532.7,182.3,1879.3
KHUNTI,365,JHARKHAND,20,6.9,319.9,1046.6,133.3,1506.6
KODARMA,348,JHARKHAND,20,0.5,253.8,998,190.3,1442.6
LATEHAR,359,JHARKHAND,20,0,162.5,1178.3,68.8,1409.6
LOHARDAGA,356,JHARKHAND,20,10.6,314,1440.2,67.2,1832
PAKUR,353,JHARKHAND,20,0,166,809.9,76.8,1052.6
PALAMU,358,JHARKHAND,20,4.2,175.5,853.4,86.3,1119.5
RAMGARH,361,JHARKHAND,20,1.6,408.2,1176.9,180.2,1766.9
RANCHI,364,JHARKHAND,20,7.8,293.8,1213.9,125.3,1640.7
SAHIBGANJ,352,JHARKHAND,20,0,503.8,1275.7,169,1948.5
SARAIKELA-KHARSAWAN,369,JHARKHAND,20,4.3,349.2,978.1,165.9,1497.4
SIMDEGA,367,JHARKHAND,20,17.2,196.1,1046.5,182.6,1442.5
PASHCHIMI SINGHBHUM,368,JHARKHAND,20,1.8,304.7,999.2,291.4,1597.1
BAGALKOTE,556,KARNATAKA,29,9,76.1,414.1,122.2,621.4
BALLARI,565,KARNATAKA,29,16.6,100.5,434.1,272.1,823.3
BELAGAVI,555,KARNATAKA,29,13.6,162.8,696.2,231.9,1104.6
BENGALURU RURAL,583,KARNATAKA,29,45.3,121.3,588.2,569.9,1324.7
BENGALURU,572,KARNATAKA,29,26.3,132.3,548.3,581.7,1288.7
BIDAR,558,KARNATAKA,29,7,44.1,889.1,94.5,1034.6
CHAMARAJANAGARA,578,KARNATAKA,29,16.3,147.7,448.6,478,1090.6
CHIKKABALLAPURA,582,KARNATAKA,29,29.8,142.5,471.2,618.9,1262.3
CHIKKAMAGALURU,570,KARNATAKA,29,112.4,251.2,1543.9,570.2,2477.7
CHITRADURGA,566,KARNATAKA,29,55.7,165.5,350.6,424.7,996.5
DAKSHINA KANNADA,575,KARNATAKA,29,131.4,567,2668.9,797.2,4164.6
DAVANAGERE,567,KARNATAKA,29,52,135.4,521.9,400.8,1110.3
DHARWAD,562,KARNATAKA,29,32.3,207.9,617.1,244.3,1101.6
GADAG,561,KARNATAKA,29,40.6,216.3,392.6,224.3,873.8
HASSAN,574,KARNATAKA,29,60.3,213,538.2,507.7,1319.3
HAVERI,564,KARNATAKA,29,49.3,148.6,534.4,359.7,1092.1
KALABURAGI,579,KARNATAKA,29,2.5,99.9,859.6,114.7,1076.6
KODAGU,576,KARNATAKA,29,90,460.6,1926.5,511,2988.3
KOLAR,581,KARNATAKA,29,30,149.6,758.6,574.2,1512.4
KOPPAL,560,KARNATAKA,29,8.2,93.1,503.7,206,811
MANDYA,573,KARNATAKA,29,32.4,169.8,366.5,638.6,1207.3
MYSURU,577,KARNATAKA,29,26.8,104,313,597.3,1041.1
RAICHUR,559,KARNATAKA,29,3.8,72.7,428.9,181.4,686.8
RAMANAGARA,584,KARNATAKA,29,44.8,208,371.4,490.6,1114.7
SHIVAMOGGA,568,KARNATAKA,29,69.5,246.5,1616.6,409.3,2341.8
TUMAKURU,571,KARNATAKA,29,41.8,147,387.2,604,1179.9
UDUPI,569,KARNATAKA,29,82.8,495.2,3449.5,675,4702.5
UTTARA KANNADA,563,KARNATAKA,29,49,392,2636.3,403.4,3480.7
VIJAYAPURA,557,KARNATAKA,29,0.6,99.9,470.3,93.2,664
YADGIR,580,KARNATAKA,29,6.6,50.2,613.5,110.7,781
ALAPPUZHA,598,KERALA,32,99.9,904.1,1495.1,929.8,3428.8
KANNUR,589,KERALA,32,79.8,640,2070.6,858.5,3648.9
ERNAKULAM,595,KERALA,32,149.2,879.6,1903.9,999.3,3931.9
IDUKKI,596,KERALA,32,129.2,765.6,2108.4,1256,4259.2
KASARAGOD,588,KERALA,32,114,488.3,2398.7,825,3826
KOLLAM,600,KERALA,32,97.9,919.7,1150.4,1325.1,3493.1
KOTTAYAM,597,KERALA,32,155.9,1051.2,2165.9,1215.5,4588.5
KOZHIKODE,591,KERALA,32,170.5,674.5,2288.4,1032.9,4166.3
MAHE,636,KERALA,32,74.6,645.8,1957,936.8,3614.2
MALAPPURAM,592,KERALA,32,95.2,574.5,1550.1,817,3036.9
PALAKKAD,593,KERALA,32,39.7,434.7,1131.6,831.9,2437.7
PATHANAMTHITTA,599,KERALA,32,270.8,1301.9,1684.3,1695.4,4952.5
THIRUVANANTHAPURAM,601,KERALA,32,95.7,942.4,745.6,999.4,2783.1
THRISSUR,594,KERALA,32,67.3,713.3,1792.5,948.5,3521.6
WAYANAD,590,KERALA,32,85.1,467,1725.5,569.7,2847.3
KARGIL,004,LADAKH,38,27.6,36.4,31,11,106
LEH,003,LADAKH,38,2.6,15.1,19.1,4.9,41.7
LAKSHADWEEP,587,LAKSHADWEEP,31,216.9,514.6,790.9,376.3,1898.7
AGAR MALWA,724,MADHYA PRADESH,23,3.1,50.1,1224.2,73.9,1351.3
ALIRAJPUR,465,MADHYA PRADESH,23,8.3,21.4,961.3,101.4,1092.4
ANUPPUR,461,MADHYA PRADESH,23,42.3,91.9,1146.3,48.5,1329.1
ASHOKNAGAR,459,MADHYA PRADESH,23,2.3,75.5,1182.3,44,1304
BALAGHAT,457,MADHYA PRADESH,23,26,51,985.5,58.9,1121.3
BARWANI,441,MADHYA PRADESH,23,8,16,644.1,87,755
BETUL,447,MADHYA PRADESH,23,13.9,62.1,1014.4,100.7,1191.1
BHIND,420,MADHYA PRADESH,23,4.7,74.2,834.1,102.1,1015.1
BHOPAL,444,MADHYA PRADESH,23,4.4,87.8,979.8,75.1,1147.1
BURHANPUR,467,MADHYA PRADESH,23,1,12.6,777.4,144.2,935.1
CHHATARPUR,425,MADHYA PRADESH,23,6.4,67.7,719.4,48,841.5
CHHINDWARA,455,MADHYA PRADESH,23,13.4,75.1,938.7,79.1,1106.3
DAMOH,428,MADHYA PRADESH,23,13.8,108.1,644.8,16.7,783.3
DATIA,422,MADHYA PRADESH,23,2.5,50.5,707.2,136.1,896.4
DEWAS,437,MADHYA PRADESH,23,4.4,12.8,961.4,82.2,1060.8
DHAR,438,MADHYA PRADESH,23,10.3,4,650.5,110.9,775.7
DINDORI,453,MADHYA PRADESH,23,24.3,104.3,1088.4,59,1275.9
GUNA,458,MADHYA PRADESH,23,1.4,88.4,1632.5,105.1,1827.3
GWALIOR,421,MADHYA PRADESH,23,3.8,57,718.2,95.3,874.3
HARDA,448,MADHYA PRADESH,23,4,34.7,875.9,105,1019.6
HOSHANGABAD,449,MADHYA PRADESH,23,3.3,35.1,1025.9,55.2,1119.4
INDORE,439,MADHYA PRADESH,23,9.4,35.3,836.6,154.8,1036.1
JABALPUR,451,MADHYA PRADESH,23,12.2,74.1,718.9,40.9,846.3
JHABUA,464,MADHYA PRADESH,23,18.2,11.4,829,54.2,912.7
KATNI,450,MADHYA PRADESH,23,2.9,93.1,708.2,24,828.2
MANDLA,454,MADHYA PRADESH,23,24.3,87.5,1015.7,62,1189.5
MANDSAUR,433,MADHYA PRADESH,23,7.5,38.8,914.6,86.4,1047.3
MORENA,419,MADHYA PRADESH,23,4.5,74,658.2,40.3,777
NARSIMHAPUR,452,MADHYA PRADESH,23,2,30.4,882.4,28.2,943
NEEMUCH,432,MADHYA PRADESH,23,23.3,89.9,1056.7,181.7,1351.6
NIWARI,782,MADHYA PRADESH,23,5,66.7,1027,124.7,1223.3
PANNA,426,MADHYA PRADESH,23,4.8,118.8,730.5,20.1,874.2
RAISEN,446,MADHYA PRADESH,23,3.5,67.9,1024.1,44.7,1140.1
RAJGARH,442,MADHYA PRADESH,23,1.4,60.6,1194.3,83.8,1340
RATLAM,434,MADHYA PRADESH,23,1.3,33.1,1035.4,76.9,1146.6
REWA,430,MADHYA PRADESH,23,0.6,120.3,1009.7,30.3,1160.8
SAGAR,427,MADHYA PRADESH,23,9.2,123.4,896.1,37.2,1065.9
SATNA,429,MADHYA PRADESH,23,1.7,94.1,800.2,40.8,936.8
SEHORE,445,MADHYA PRADESH,23,1.8,36.2,944.8,101.7,1084.5
SEONI,456,MADHYA PRADESH,23,26.4,119.1,784.1,61.2,990.7
SHAHDOL,460,MADHYA PRADESH,23,12.6,111.2,971.7,44,1139.5
SHAJAPUR,436,MADHYA PRADESH,23,5.2,38.5,1066.5,79.1,1189.3
SHEOPUR,418,MADHYA PRADESH,23,27.5,49.4,1344,200.8,1621.6
SHIVPURI,423,MADHYA PRADESH,23,2.3,84.1,1262.5,104.7,1453.5
SIDHI,462,MADHYA PRADESH,23,1.4,139.7,992.2,12.8,1146
SINGRAULI,463,MADHYA PRADESH,23,3.6,152.9,1255.9,28,1440.5
TIKAMGARH,424,MADHYA PRADESH,23,9,45.5,767.8,41.5,863.8
UJJAIN,435,MADHYA PRADESH,23,5.8,44,999.6,98,1147.3
UMARIA,431,MADHYA PRADESH,23,14.2,159.9,908.9,47.9,1130.9
VIDISHA,443,MADHYA PRADESH,23,5.6,81.7,1181.8,66.5,1335.6
AHMADNAGAR,522,MAHARASHTRA,27,23.8,11.5,584.7,212.6,832.6
AKOLA,501,MAHARASHTRA,27,4.3,5.8,723.4,75.8,809.4
